"nachname","vorname","ort","partei","titel","geschaeftsnummer"
"Ricklin","Judith",,"SVP","Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 \"Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV\"","2024/MO 7/49"
"Peter Köstli","Sabina",,"Die Mitte","Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 \"Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV\"","2024/MO 7/49"
"Mader","Christian",,"EDU","Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 \"Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV\"","2024/MO 7/49"
"Fritschi","Manuela",,"FDP","Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 \"Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV\"","2024/MO 7/49"
"Leuthold","Stefan",,"GLP","Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 \"Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV\"","2024/MO 7/49"
"Schönegger","Waltraud",,"SP","Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 \"Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV\"","2024/MO 7/49"
"Hauser","Cornelia",,"GRÜNE","Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 \"Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV\"","2024/MO 7/49"
"Spiri","Robin",,"Aufrecht","Interpellation von Robin Spiri, Jacob Auer, Jost Rüegg, Oliver Martin, Marcel Wittwer, Dean Kradolfer vom 28. August 2024 \"Gewährleistung von Bargeldzahlungen in kantonalen Einrichtungen\"","2024/IN 5/50"
"Auer","Jacob",,"SP","Interpellation von Robin Spiri, Jacob Auer, Jost Rüegg, Oliver Martin, Marcel Wittwer, Dean Kradolfer vom 28. August 2024 \"Gewährleistung von Bargeldzahlungen in kantonalen Einrichtungen\"","2024/IN 5/50"
"Rüegg","Jost",,"GRÜNE","Interpellation von Robin Spiri, Jacob Auer, Jost Rüegg, Oliver Martin, Marcel Wittwer, Dean Kradolfer vom 28. August 2024 \"Gewährleistung von Bargeldzahlungen in kantonalen Einrichtungen\"","2024/IN 5/50"
"Martin","Oliver",,"SVP","Interpellation von Robin Spiri, Jacob Auer, Jost Rüegg, Oliver Martin, Marcel Wittwer, Dean Kradolfer vom 28. August 2024 \"Gewährleistung von Bargeldzahlungen in kantonalen Einrichtungen\"","2024/IN 5/50"
"Wittwer","Marcel",,"EDU","Interpellation von Robin Spiri, Jacob Auer, Jost Rüegg, Oliver Martin, Marcel Wittwer, Dean Kradolfer vom 28. August 2024 \"Gewährleistung von Bargeldzahlungen in kantonalen Einrichtungen\"","2024/IN 5/50"
