"datum_geschaeft_eingang","geschaeftsnummer","grg_nummer","geschaftstitel","geschaftsart","kennung","sachbegriff_grgeko_1","sachbegriff_grgeko_2","status","departement"
2024-09-11,"2024/MO 9/60","60","Motion von Elisabeth Rickenbach, Franz Eugster, Judith Ricklin, Barbara Dätwyler Weber, Nicole Zeitner, Brigitta Engeli-Sager, Lukas Madörin vom 11. September 2024 \"Verkaufsverbot von Einweg E-Zigaretten\"","Motion","MO","",,"pendent","Departement für Finanzen und Soziales"
2024-09-11,"2024/PI 1/61","61","Parlamentarische Initiative von Stephan Tobler vom 11. September 2024 \"Gesetz über das Stimm- und Wahlrecht (StWG) vom 12. Februar 2014 (Stand 1. August 2014)\"","Parlamentarische Initiative","PI","16.3 Majorzwahlen",,"abgeschlossen","Departement für Inneres und Volkswirtschaft"
2024-09-11,"2024/EA 17/62","62","Einfache Anfrage von Ursula Senn-Bieri vom 11. September 2024 \"Selektives Obligatorium Vorschulische Sprachförderung\"","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Erziehung und Kultur"
2024-11-06,"2024/FR 3/63","63","Fragestunde vom 06.11.2024","Fragestunde","FR","10.1 Kantonsverfassung und Staatsverträge",,"abgeschlossen",""
2024-09-30,"2024/BS 4/64","64","Voranschlag 2025 und Finanzplan 2026-2028","Beschluss","BS","61.1 Finanzhaushalt, Finanzverwaltung und -kontrolle","61.2 Budget, Finanzplan, Staatsrechnung","abgeschlossen","Departement für Finanzen und Soziales"
2024-09-30,"2024/EA 18/65","65","Einfache Anfrage von Jürg Wiesli vom 30. September 2024 \"Hohe Kosten einer fast vollzeitlichen Kinderbetreuung\"","Einfache Anfrage","EA","41.0 Unterrichtswesen, Lehrerorganisation und -fortbildung",,"abgeschlossen","Departement für Erziehung und Kultur"
2024-09-30,"2024/EA 19/66","66","Einfache Anfrage von Marion Sontheim vom 30. September 2024 \"Elternbeiträge Klassenlager\"","Einfache Anfrage","EA","41.0 Unterrichtswesen, Lehrerorganisation und -fortbildung",,"abgeschlossen","Departement für Erziehung und Kultur"
2024-09-30,"2024/EA 20/67","67","Einfache Anfrage von Nicole Zeitner, Celina Hug vom 30. September 2024 \"Umsetzung der Sexualstrafrechtsreform im Kanton Thurgau\"","Einfache Anfrage","EA","31.1 StGB, EG/StGB, Verwaltungsstrafrecht",,"abgeschlossen","Departement für Justiz und Sicherheit"
2024-09-30,"2024/EA 21/68","68","Einfache Anfrage von Cornelia Hauser, Nicole Zeitner, Elisabeth Rickenbach vom 30. September 2024 \"Ergänzungsleistungen zur Alters-, Hinterlassenen- und Invalidenversicherung - Tarifanpassung dringend nötig.","Einfache Anfrage","EA","83.1 AHV, IV, EL",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-09-30,"2024/EA 22/69","69","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Alexander Sigg, Celina Hug, Marcel Preiss vom 30. September 2024 \"Widerrechtliche Adoptionen von indischen Kindern im Thurgau\"","Einfache Anfrage","EA","21.1 ZGB, EG/ZGB, Vormundschaft, Waisenämter",,"abgeschlossen","Departement für Justiz und Sicherheit"
2024-09-30,"2024/BS 5/70","70","Botschaft zum Beschluss über die Genehmigung des Vorvertrags zum Kaufvertrag zwischen dem Kanton St. Gallen und dem Kanton Thurgau betreffend Erwerb von zwei Liegenschaften durch den Kanton Thurgau und Ermächtigung zur Weiterveräusserung der Parzellen im Rahmen des Gesamtvorhabens WILWEST sowie über die Bewilligung eines Verpflichtungskredits von Fr. 600'000 als Nachtrag zum Budget 2025","Beschluss","BS","70.1 Raumplanung, Richtpläne",,"pendent","Departement für Bau und Umwelt"
2024-10-23,"2024/PI 2/71","71","Parlamentarische Initiative von Robin Spiri, Barbara Dätwyler Weber, Alexander Sigg, Andreas Sigrist, Judith Ricklin, Patrick Siegenthaler vom 23. Oktober 2024 \"Maximaler steuerlicher Abzug der Krankenkassenprämien der Realität anpassen\"","Parlamentarische Initiative","PI","64.1 Staats- und Gemeindesteuern, allgemeine Organisation",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-10-23,"2024/MO 10/72","72","Motion von Oliver Martin, Marcel Wittwer, Jacob Auer, Didi Feuerle, Sandrine Nikolic-Fuss vom 23. Oktober 2024 \"Abschaffung des regierungsrätlichen Ruhegehalts\"","Motion","MO","",,"pendent","Departement für Finanzen und Soziales"
2024-10-23,"2024/IN 8/73","73","Interpellation von Stefan Leuthold, Cornelia Hasler-Roost, Patrick Siegenthaler vom 23. Oktober 2024 \"Entfremdung: Welche Unterstützung erhalten Betroffene im Thurgau?\"","Interpellation","IN","",,"pendent","Departement für Finanzen und Soziales"
2024-10-23,"2024/EA 23/74","74","Einfache Anfrage von Ueli Keller vom 23. Oktober 2024 \"Kinder in der Nothilfe\"","Einfache Anfrage","EA","14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,"abgeschlossen","Departement für Justiz und Sicherheit"
2024-10-23,"2024/EA 24/75","75","Einfache Anfrage von Robin Spiri vom 23. Oktober 2024 \"Bargeldlose Automaten auf Kantonsgebiet\"","Einfache Anfrage","EA","13.1 Gebiet, Organisation, Reglemente, Verwaltung",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-12-18,"2024/FR 4/76","76","Fragestunde vom 18.12.2024","Fragestunde","FR","10.1 Kantonsverfassung und Staatsverträge",,"abgeschlossen","Grosser Rat"
2024-11-06,"2024/EA 25/77","77","Einfache Anfrage von Kenny Greber vom 6. November 2024 \"Areal Hasli / Wigoltingen Innovation Park (WIP)\"","Einfache Anfrage","EA","90.0 Wirtschaftliche Entwicklung",,"abgeschlossen","Departement für Bau und Umwelt"
2024-11-06,"2024/EA 26/78","78","Einfache Anfrage von Robin Spiri vom 6. November 2024 \"Food Waste reduzieren und Wegwerfkultur stoppen\"","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-11-06,"2024/EA 27/79","79","Einfache Anfrage von Simon Weilenmann vom 6. November 2024 \"Ist die Beschlagnahmung von Vermögenswerten von geflüchteten Personen im Zusammenhang mit der Sonderabgabe, Asylgesetz Art. 86, in den Thurgauer Gemeinden zulässig?","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-11-06,"2024/EA 28/80","80","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Celina Hug, Marcel Preiss vom 6. November 2024 \"AXPO: Ein ausser Kontrolle geratenes Hochrisiko-Unternehmen?\"","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Inneres und Volkswirtschaft"
2024-11-06,"2024/EA 29/81","81","Einfache Anfrage von Simon Weilenmann vom 6. November 2024 \"Pestizide im Trinkwasser\"","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-11-06,"2024/EA 30/82","82","Einfache Anfrage von Aline Indergand vom 6. November 2024 \"Willkommenskultur im Migrationsamt\"","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Justiz und Sicherheit"
2024-11-06,"2024/EA 31/83","83","Einfache Anfrage von Raphael Stutz vom 6. November 2024 \"Wil West\"","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Bau und Umwelt"
2024-11-06,"2024/EA 32/84","84","Einfache Anfrage von Andreas Wirth vom 6. November 2024 \"Selektives Sprachobligatorium - richtig selektioniert?\"","Einfache Anfrage","EA","41.0 Unterrichtswesen, Lehrerorganisation und -fortbildung",,"abgeschlossen","Departement für Erziehung und Kultur"
2024-11-06,"2024/IN 9/85","85","Interpellation von Stephanie Eberle vom 6. November 2024 \"Integrative Sonderschule oder Separative Integration?\"","Interpellation","IN","",,"pendent","Departement für Erziehung und Kultur"
2024-11-06,"2024/IN 10/86","86","Interpellation von Aline Indergand, Stephanie Eberle vom 6. November 2024 \"Effektive Rückführung von straffälligen Asylmigrantinnen und -migranten\"","Interpellation","IN","",,"pendent","Departement für Justiz und Sicherheit"
2024-11-20,"2024/EA 33/87","87","Einfache Anfrage von Markus Brüllmann, Marion Sontheim vom 20. November 2024 \"Vorgehen betreffend Schutzsuchenden mit Status S, welche eine Lehre antreten oder abschliessen möchten\"","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-11-20,"2024/EA 34/88","88","Einfache Anfrage von Edith Wohlfender-Oertig, Kenny Greber, Traudi Schönegger vom 20. November 2024 \"Prävention bei Jugendlichen - eine neue Herausforderung für den Thurgau?\"","Einfache Anfrage","EA","81.0 Allgemeines, Organisation, Gesetz, Taxen",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-11-20,"2024/EA 35/89","89","Einfache Anfrage von Isabelle Vonlanthen-Specker, Didi Feuerle vom 20. November 2024 \"Handel mit Haus- und Wildtieren\"","Einfache Anfrage","EA","91.8 Tierseuchen und -krankheiten, Viehhandel",,"abgeschlossen","Departement für Inneres und Volkswirtschaft"
2024-11-20,"2024/EA 36/90","90","Einfache Anfrage von Christian Caviezel vom 20. November 2024 \"Solares Geoengineering im Thurgauer Flugraum?\"","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Bau und Umwelt"
2024-11-20,"2024/IN 11/91","91","Interpellation von Edith Wohlfender-Oertig, Elina Müller vom 20. November 2024 \"Ermordet, weil sie Frauen sind! Im Thurgau - ein politisches Thema?\"","Interpellation","IN","",,"pendent","Departement für Justiz und Sicherheit"
2024-12-04,"2024/MO 11/92","92","Motion gemäss § 75 der Geschäftsordnung des Grossen Rates (GOGR) von Daniel Eugster, Gabriel Macedo vom 4. Dezember 2024 \"Transparenz der Kosten parlamentarischer Vorstösse\"","Motion","MO","",,"pendent","Staatskanzlei"
2024-12-18,"2024/GE 4/93","93","Änderung des Krankenversicherungsgesetzes (TG KVG)","Gesetz","GE","",,"pendent",""
2024-12-18,"2024/EA 37/94","94","Einfache Anfrage von Stefan Leuthold, Marcel Preiss vom 18. Dezember 2024 \"Thurgauer Klima– und Energieziele: Echte Ambition oder Makulatur?\"","Einfache Anfrage","EA","73.1 Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,"pendent","Departement für Inneres und Volkswirtschaft"
2024-12-18,"2024/EA 38/95","95","Einfache Anfrage von Karin Bétrisey vom 18. Dezember 2024 \"Das Projekt BTS/OLS ist Geschichte – nun soll die Mobilität in unserem Kanton endlich nachhaltig geplant werden\"","Einfache Anfrage","EA","74.1 Strassenverkehr, öffentlicher Verkehr auf Strassen",,"pendent","Departement für Bau und Umwelt"
